focal_taxon,tax_scale,family,order,n_spp,n_individuals,n_loci,loci_type,a_posteriori?,priori_posteriori,year,citation,citation_for_plot
Passeriformes,genera,-,Passeriformes,209,209,4060,UCE,no,a priori,2019,Oliveros et al. 2019. PNAS,
Galliformes,genera,-,Galliformes,87,87,1740,UCE,no,a priori,2016,Hosner et al. 2016. MBE,
Tyranni,species,-,-,1287,1940,2389,UCE,no,a priori,2020,Harvey et al. 2020. Science,
Grallaria,species,Grallariidae,Passeriformes,6,14,1767,RADseq,no,a priori,2015,Hosner et al. 2015. Molecular Ecology,
Grouse and Ptarmigan,species,Phasianidae,Galliformes,19,19,3367,UCE,no,a priori,2016,Persons et al. 2016. MPE,
Galliformes,species,-,Galliformes,115,115,4021,UCE,no,a priori,2017,Hosner et al. 2017. Proceedings B,
Cracidae,species,Cracidae,Galliformes,38,38,430,UCE,no,a priori,2016,Hosner et al. 2016. MPE,
Gallopheasant,species,Phasianidae,Galliformes,23,23,3486,UCE,no,a priori,2020,Hosner et al. 2020. Zoologica Scripta,
Pipridae,species,Pipridae,Passeriformes,51,51,1796,UCE,no,a priori,2020,Leite et al. 2020. MPE,
Strigidae,genera,Strigidae,Strigiformes,43,44,4253,UCE,no,a priori,2019,Salter et al. 2019. Auk,
Epinecrophylla,species,Thamnophilidae,Passeriformes,8,66,2149,UCE,no,a priori,2021,Johnson et al. 2021. MPE,
Zosterops,species,Zosteropidae,Passeriformes,33,?,768,exon,no,a priori,2020,Gwee et al. 2020. eLife,
